Tagalog Sentence,Tagged Sentence,English Translation,Pronoun Annotation
Ang doktor ay nagpapaliwanag. Siya ay matalino.,"Ang doktor ay nagpapaliwanag. Siya [singular, third-person, inferred gender] ay matalino.",The doctor is explaining. He is intelligent.,"Pronoun = ""he,"" singular, inferred gender"
Si Pedro ay nag-aaral. Siya ay masipag.,"Si Pedro ay nag-aaral. Siya [singular, third-person, gender-specific] ay masipag.",Pedro is studying. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Ang mga bata ay naglalaro. Sila ay masaya.,"Ang mga bata ay naglalaro. Sila [plural, third-person] ay masaya.",The children are playing. They are happy.,"Pronoun = ""they,"" plural"
Siya ay nagluluto ng hapunan.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng hapunan.",They are cooking dinner.,"Pronoun = ""they,"" singular, gender-neutral"
Kami ay pupunta sa parke.,"Kami [first-person plural, exclusive] ay pupunta sa parke.",We are going to the park.,"Pronoun = ""we,"" first-person plural, exclusive"
Siya ay sumasayaw sa entablado.,"Siya [singular, third-person, gender-neutral] ay sumasayaw sa entablado.",They are dancing on the stage.,"Pronoun = ""they,"" singular, gender-neutral"
Ang pusa ay natutulog. Ito ay pagod.,"Ang pusa ay natutulog. Ito [singular, non-human] ay pagod.",The cat is sleeping. It is tired.,"Pronoun = ""it,"" singular, non-human"
Siya ay nagsasalita sa telepono.,"Siya [singular, third-person, gender-neutral] ay nagsasalita sa telepono.",They are speaking on the phone.,"Pronoun = ""they,"" singular, gender-neutral"
Si Juan at Maria ay magkasama. Sila ay mag-kaibigan.,"Si Juan at Maria ay magkasama. Sila [plural, third-person] ay mag-kaibigan.",Juan and Maria are together. They are friends.,"Pronoun = ""they,"" plural"
Pupunta ba kayo sa party?,"Pupunta ba kayo [plural, second-person] sa party?",Are you (all) going to the party?,"Pronoun = ""you,"" plural, second-person"
Siya ay nagpipinta ng larawan.,"Siya [singular, third-person, gender-neutral] ay nagpipinta ng larawan.",They are painting a picture.,"Pronoun = ""they,"" singular, gender-neutral"
Si Ana ay nagsusulat. Siya ay mabilis magsulat.,"Si Ana ay nagsusulat. Siya [singular, third-person, gender-specific] ay mabilis magsulat.",Ana is writing. She writes quickly.,"Pronoun = ""she,"" singular, gender-specific"
Ang mga lalaki ay naglalaro ng basketball.,"Ang mga lalaki ay naglalaro ng basketball. Sila [plural, third-person, gender-specific]",The men are playing basketball.,"Pronoun = ""they,"" plural, gender-specific"
Siya ay nag-aalaga ng aso.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng aso.",They are taking care of the dog.,"Pronoun = ""they,"" singular, gender-neutral"
Tayo ay maglalakad papunta sa opisina.,"Tayo [plural, first-person, inclusive] ay maglalakad papunta sa opisina.",We are walking to the office.,"Pronoun = ""we,"" inclusive, first-person plural"
Siya ay kumakain ng mangga.,"Siya [singular, third-person, gender-neutral] ay kumakain ng mangga.",They are eating a mango.,"Pronoun = ""they,"" singular, gender-neutral"
Ang guro ay nagtuturo ng matematika. Siya ay magaling.,"Ang guro ay nagtuturo ng matematika. Siya [singular, third-person, inferred gender] ay magaling.",The teacher is teaching math. She is excellent.,"Pronoun = ""she,"" singular, inferred gender"
Siya ay nanonood ng pelikula.,"Siya [singular, third-person, gender-neutral] ay nanonood ng pelikula.",They are watching a movie.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglilinis ng bahay.,"Sila [plural, third-person] ay naglilinis ng bahay.",They are cleaning the house.,"Pronoun = ""they,"" plural"
Siya ay sumasayaw sa sayawan.,"Siya [singular, third-person, gender-neutral] ay sumasayaw sa sayawan.",They are dancing at the dance.,"Pronoun = ""they,"" singular, gender-neutral"
Si Lola ay nagluluto ng adobo. Siya ay mahusay magluto.,"Si Lola ay nagluluto ng adobo. Siya [singular, third-person, gender-specific] ay mahusay magluto.",Grandma is cooking adobo. She is great at cooking.,"Pronoun = ""she,"" singular, gender-specific"
Kayo ba ay bibili ng mga tiket?,"Kayo [plural, second-person] ba ay bibili ng mga tiket?",Are you all buying the tickets?,"Pronoun = ""you,"" second-person plural"
Siya ay sumasagot ng mga tanong.,"Siya [singular, third-person, gender-neutral] ay sumasagot ng mga tanong.",They are answering questions.,"Pronoun = ""they,"" singular, gender-neutral"
Ang aso ay tumatahol. Ito ay galit.,"Ang aso ay tumatahol. Ito [singular, non-human] ay galit.",The dog is barking. It is angry.,"Pronoun = ""it,"" singular, non-human"
Si Juan ay nagbabasa ng aklat. Siya ay mahilig magbasa.,"Si Juan ay nagbabasa ng aklat. Siya [singular, third-person, gender-specific] ay mahilig magbasa.",Juan is reading a book. He loves reading.,"Pronoun = ""he,"" singular, gender-specific"
Sila ay pupunta sa tindahan.,"Sila [plural, third-person] ay pupunta sa tindahan.",They are going to the store.,"Pronoun = ""they,"" plural"
Siya ay nagtatanong tungkol sa proyekto.,"Siya [singular, third-person, gender-neutral] ay nagtatanong tungkol sa proyekto.",They are asking about the project.,"Pronoun = ""they,"" singular, gender-neutral"
Si Maria ay kumakanta sa konsyerto. Siya ay magaling.,"Si Maria ay kumakanta sa konsyerto. Siya [singular, third-person, gender-specific] ay magaling.",Maria is singing at the concert. She is amazing.,"Pronoun = ""she,"" singular, gender-specific"
Kami ay nag-aaral para sa pagsusulit.,"Kami [plural, first-person, inclusive] ay nag-aaral para sa pagsusulit.",We are studying for the exam.,"Pronoun = ""we,"" first-person plural"
Siya ay bumibili ng regalo.,"Siya [singular, third-person, gender-neutral] ay bumibili ng regalo.",They are buying a gift.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatrabaho sa proyekto.,"Sila [plural, third-person] ay nagtatrabaho sa proyekto.",They are working on the project.,"Pronoun = ""they,"" plural"
Siya ay natutulog sa kama.,"Siya [singular, third-person, gender-neutral] ay natutulog sa kama.",They are sleeping in the bed.,"Pronoun = ""they,"" singular, gender-neutral"
Ang batang lalaki ay naglalaro ng bola. Siya ay masaya.,"Ang batang lalaki ay naglalaro ng bola. Siya [singular, third-person, gender-specific] ay masaya.",The boy is playing with a ball. He is happy.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay bumabasa ng dyaryo.,"Siya [singular, third-person, gender-neutral] ay bumabasa ng dyaryo.",They are reading the newspaper.,"Pronoun = ""they,"" singular, gender-neutral"
Kayo ay papasok sa trabaho bukas?,"Kayo [plural, second-person] ay papasok sa trabaho bukas?",Are you (all) going to work tomorrow?,"Pronoun = ""you,"" second-person plural"
Si Ana at Juan ay pumunta sa sinehan. Sila ay nanood ng pelikula.,"Si Ana at Juan ay pumunta sa sinehan. Sila [plural, third-person] ay nanood ng pelikula.",Ana and Juan went to the cinema. They watched a movie.,"Pronoun = ""they,"" plural"
Ang elepante ay malaki. Ito ay mabigat.,"Ang elepante ay malaki. Ito [singular, non-human] ay mabigat.",The elephant is big. It is heavy.,"Pronoun = ""it,"" singular, non-human"
Siya ay naglilinis ng kotse.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng kotse.",They are cleaning the car.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagluluto ng almusal.,"Sila [plural, third-person] ay nagluluto ng almusal.",They are cooking breakfast.,"Pronoun = ""they,"" plural"
Ang doktor ay gumagamot ng mga pasyente. Siya ay maingat.,"Ang doktor ay gumagamot ng mga pasyente. Siya [singular, third-person, inferred gender] ay maingat.",The doctor is treating patients. He is careful.,"Pronoun = ""he,"" singular, inferred gender"
Siya ay nag-aalaga ng mga halaman.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng mga halaman.",They are taking care of the plants.,"Pronoun = ""they,"" singular, gender-neutral"
Siya ay nagpipinta sa silid.,"Siya [singular, third-person, gender-neutral] ay nagpipinta sa silid.",They are painting in the room.,"Pronoun = ""they,"" singular, gender-neutral"
Si Ana ay nagtuturo sa mga bata. Siya ay mabait.,"Si Ana ay nagtuturo sa mga bata. Siya [singular, third-person, gender-specific] ay mabait.",Ana is teaching the children. She is kind.,"Pronoun = ""she,"" singular, gender-specific"
Ang mga guro ay nag-uusap.,"Ang mga guro ay nag-uusap. Sila [plural, third-person]",The teachers are talking.,"Pronoun = ""they,"" plural"
Siya ay nagmamaneho ng kotse.,"Siya [singular, third-person, gender-neutral] ay nagmamaneho ng kotse.",They are driving a car.,"Pronoun = ""they,"" singular, gender-neutral"
Si Pedro ay tumutugtog ng gitara. Siya ay magaling.,"Si Pedro ay tumutugtog ng gitara. Siya [singular, third-person, gender-specific] ay magaling.",Pedro is playing the guitar. He is good.,"Pronoun = ""he,"" singular, gender-specific"
Sila ay nag-eehersisyo sa parke.,"Sila [plural, third-person] ay nag-eehersisyo sa parke.",They are exercising in the park.,"Pronoun = ""they,"" plural"
Siya ay nagtatanim ng mga bulaklak.,"Siya [singular, third-person, gender-neutral] ay nagtatanim ng mga bulaklak.",They are planting flowers.,"Pronoun = ""they,"" singular, gender-neutral"
Ang pusa ay naglalaro ng bola. Ito ay masaya.,"Ang pusa ay naglalaro ng bola. Ito [singular, non-human] ay masaya.",The cat is playing with the ball. It is happy.,"Pronoun = ""it,"" singular, non-human"
Siya ay nakikinig ng musika.,"Siya [singular, third-person, gender-neutral] ay nakikinig ng musika.",They are listening to music.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay bumibili ng pagkain sa tindahan.,"Sila [plural, third-person] ay bumibili ng pagkain sa tindahan.",They are buying food at the store.,"Pronoun = ""they,"" plural"
Si Juan ay umiinom ng kape. Siya ay mahilig sa kape.,"Si Juan ay umiinom ng kape. Siya [singular, third-person, gender-specific] ay mahilig sa kape.",Juan is drinking coffee. He loves coffee.,"Pronoun = ""he,"" singular, gender-specific"
Ang mga bata ay naglalaro sa labas.,"Ang mga bata ay naglalaro sa labas. Sila [plural, third-person]",The children are playing outside.,"Pronoun = ""they,"" plural"
Siya ay nagbabasa ng libro sa hardin.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng libro sa hardin.",They are reading a book in the garden.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapahinga sa tabi ng dagat.,"Sila [plural, third-person] ay nagpapahinga sa tabi ng dagat.",They are resting by the sea.,"Pronoun = ""they,"" plural"
Si Maria ay bumibili ng damit. Siya ay maganda.,"Si Maria ay bumibili ng damit. Siya [singular, third-person, gender-specific] ay maganda.",Maria is buying clothes. She is beautiful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay tumatakbo sa burol.,"Siya [singular, third-person, gender-neutral] ay tumatakbo sa burol.",They are running up the hill.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nanonood ng pelikula sa bahay.,"Sila [plural, third-person] ay nanonood ng pelikula sa bahay.",They are watching a movie at home.,"Pronoun = ""they,"" plural"
Siya ay nagsusulat ng liham.,"Siya [singular, third-person, gender-neutral] ay nagsusulat ng liham.",They are writing a letter.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay lumilipad sa kalangitan.,"Ang mga ibon [plural, non-human] ay lumilipad sa kalangitan.",The birds are flying in the sky.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-aaral para sa eksamen.,"Siya [singular, third-person, gender-neutral] ay nag-aaral para sa eksamen.",They are studying for the exam.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakamping sa kagubatan.,"Sila [plural, third-person] ay nagkakamping sa kagubatan.",They are camping in the forest.,"Pronoun = ""they,"" plural"
Ang doktor ay nagbibigay ng payo. Siya ay matalino.,"Ang doktor ay nagbibigay ng payo. Siya [singular, third-person, inferred gender] ay matalino.",The doctor is giving advice. He is smart.,"Pronoun = ""he,"" singular, inferred gender"
Siya ay nagluluto ng tanghalian.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng tanghalian.",They are cooking lunch.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga aso ay tumatakbo sa bukid.,"Ang mga aso [plural, non-human] ay tumatakbo sa bukid.",The dogs are running in the field.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagsasanay para sa paligsahan.,"Siya [singular, third-person, gender-neutral] ay nagsasanay para sa paligsahan.",They are training for the competition.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpaplano ng bakasyon.,"Sila [plural, third-person] ay nagpaplano ng bakasyon.",They are planning a vacation.,"Pronoun = ""they,"" plural"
Siya ay kumakanta ng kanta.,"Siya [singular, third-person, gender-neutral] ay kumakanta ng kanta.",They are singing a song.,"Pronoun = ""they,"" singular, gender-neutral"
Si Ana at Pedro ay naglilinis ng bahay. Sila ay masipag.,"Si Ana at Pedro ay naglilinis ng bahay. Sila [plural, third-person] ay masipag.",Ana and Pedro are cleaning the house. They are hardworking.,"Pronoun = ""they,"" plural"
Siya ay naglalakad papunta sa paaralan.,"Siya [singular, third-person, gender-neutral] ay naglalakad papunta sa paaralan.",They are walking to school.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng chess sa sala.,"Sila [plural, third-person] ay naglalaro ng chess sa sala.",They are playing chess in the living room.,"Pronoun = ""they,"" plural"
Siya ay tumatalon sa trampolin.,"Siya [singular, third-person, gender-neutral] ay tumatalon sa trampolin.",They are jumping on the trampoline.,"Pronoun = ""they,"" singular, gender-neutral"
Si Ana ay nagsusulat ng tula. Siya ay malikhain.,"Si Ana ay nagsusulat ng tula. Siya [singular, third-person, gender-specific] ay malikhain.",Ana is writing a poem. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Sila ay naglalakad sa kalye.,"Sila [plural, third-person] ay naglalakad sa kalye.",They are walking on the street.,"Pronoun = ""they,"" plural"
Siya ay natutulog sa sala.,"Siya [singular, third-person, gender-neutral] ay natutulog sa sala.",They are sleeping in the living room.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay kumakain ng kendi.,"Ang mga bata [plural, third-person] ay kumakain ng kendi.",The children are eating candy.,"Pronoun = ""they,"" plural"
Siya ay nag-iipon ng pera.,"Siya [singular, third-person, gender-neutral] ay nag-iipon ng pera.",They are saving money.,"Pronoun = ""they,"" singular, gender-neutral"
Ang aso ay naghahanap ng buto.,"Ang aso [singular, non-human] ay naghahanap ng buto.",The dog is looking for a bone.,"Pronoun = ""it,"" singular, non-human"
Si Juan ay nagpapakain ng mga ibon. Siya ay mabait.,"Si Juan ay nagpapakain ng mga ibon. Siya [singular, third-person, gender-specific] ay mabait.",Juan is feeding the birds. He is kind.,"Pronoun = ""he,"" singular, gender-specific"
Sila ay naghuhugas ng pinggan.,"Sila [plural, third-person] ay naghuhugas ng pinggan.",They are washing the dishes.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng tiket para sa sinehan.,"Siya [singular, third-person, gender-neutral] ay bumibili ng tiket para sa sinehan.",They are buying a ticket for the cinema.,"Pronoun = ""they,"" singular, gender-neutral"
Si Pedro at Ana ay nag-aaral ng Ingles. Sila ay masipag.,"Si Pedro at Ana ay nag-aaral ng Ingles. Sila [plural, third-person] ay masipag.",Pedro and Ana are studying English. They are hardworking.,"Pronoun = ""they,"" plural"
Siya ay nag-aalaga ng kanyang mga kapatid.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng kanyang mga kapatid.",They are taking care of their siblings.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay pumupunta sa palengke tuwing umaga.,"Sila [plural, third-person] ay pumupunta sa palengke tuwing umaga.",They go to the market every morning.,"Pronoun = ""they,"" plural"
Siya ay nagpapraktis ng kanyang gitara.,"Siya [singular, third-person, gender-neutral] ay nagpapraktis ng kanyang gitara.",They are practicing their guitar.,"Pronoun = ""they,"" singular, gender-neutral"
Ang pusa ay tumatakbo sa paligid ng bahay.,"Ang pusa [singular, non-human] ay tumatakbo sa paligid ng bahay.",The cat is running around the house.,"Pronoun = ""it,"" singular, non-human"
Siya ay nanonood ng balita sa telebisyon.,"Siya [singular, third-person, gender-neutral] ay nanonood ng balita sa telebisyon.",They are watching the news on TV.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatanim ng mga puno sa likod-bahay.,"Sila [plural, third-person] ay nagtatanim ng mga puno sa likod-bahay.",They are planting trees in the backyard.,"Pronoun = ""they,"" plural"
Siya ay nagdidilig ng mga halaman.,"Siya [singular, third-person, gender-neutral] ay nagdidilig ng mga halaman.",They are watering the plants.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga guro ay nagsasagawa ng miting.,"Ang mga guro [plural, third-person] ay nagsasagawa ng miting.",The teachers are holding a meeting.,"Pronoun = ""they,"" plural"
Siya ay nagpaplanong magbiyahe sa susunod na taon.,"Siya [singular, third-person, gender-neutral] ay nagpaplanong magbiyahe sa susunod na taon.",They are planning to travel next year.,"Pronoun = ""they,"" singular, gender-neutral"
Si Ana ay nagluluto ng spaghetti. Siya ay mahusay magluto.,"Si Ana ay nagluluto ng spaghetti. Siya [singular, third-person, gender-specific] ay mahusay magluto.",Ana is cooking spaghetti. She is good at cooking.,"Pronoun = ""she,"" singular, gender-specific"
Sila ay nagpapahinga pagkatapos ng trabaho.,"Sila [plural, third-person] ay nagpapahinga pagkatapos ng trabaho.",They are resting after work.,"Pronoun = ""they,"" plural"
Siya ay naggugupit ng kanyang buhok.,"Siya [singular, third-person, gender-neutral] ay naggugupit ng kanyang buhok.",They are cutting their hair.,"Pronoun = ""they,"" singular, gender-neutral"
Ang pusa at aso ay nagtutulungan sa paghahanap ng pagkain.,"Ang pusa at aso [plural, non-human] ay nagtutulungan sa paghahanap ng pagkain.",The cat and dog are helping each other find food.,"Pronoun = ""they,"" plural, non-human"
Siya ay sumasayaw gabi-gabi.,"Siya [singular, third-person, gender-neutral] ay sumasayaw gabi-gabi.",They are dancing every night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakaroon ng piknik sa parke.,"Sila [plural, third-person] ay nagkakaroon ng piknik sa parke.",They are having a picnic at the park.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng bulaklak.,"Siya [singular, third-person, gender-neutral] ay bumibili ng bulaklak.",They are buying flowers.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga magsasaka ay nag-aani ng palay.,"Ang mga magsasaka [plural, third-person] ay nag-aani ng palay.",The farmers are harvesting rice.,"Pronoun = ""they,"" plural"
Siya ay nakikinig sa radyo.,"Siya [singular, third-person, gender-neutral] ay nakikinig sa radyo.",They are listening to the radio.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpaplano ng party para sa kaarawan ni Juan.,"Sila [plural, third-person] ay nagpaplano ng party para sa kaarawan ni Juan.",They are planning a party for Juan's birthday.,"Pronoun = ""they,"" plural"
Siya ay nanonood ng sine kasama ang mga kaibigan.,"Siya [singular, third-person, gender-neutral] ay nanonood ng sine kasama ang mga kaibigan.",They are watching a movie with friends.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng soccer sa paaralan.,"Sila [plural, third-person] ay naglalaro ng soccer sa paaralan.",They are playing soccer at school.,"Pronoun = ""they,"" plural"
Siya ay tumutugtog ng piano sa recital.,"Siya [singular, third-person, gender-neutral] ay tumutugtog ng piano sa recital.",They are playing the piano at the recital.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay naghahanap ng pagkain.,"Ang mga ibon [plural, non-human] ay naghahanap ng pagkain.",The birds are looking for food.,"Pronoun = ""they,"" plural, non-human"
Siya ay naghahanda ng hapunan para sa pamilya.,"Siya [singular, third-person, gender-neutral] ay naghahanda ng hapunan para sa pamilya.",They are preparing dinner for the family.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtutulungan sa proyekto.,"Sila [plural, third-person] ay nagtutulungan sa proyekto.",They are working together on the project.,"Pronoun = ""they,"" plural"
Siya ay nagpapahinga sa ilalim ng puno.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga sa ilalim ng puno.",They are resting under the tree.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga aso ay nag-aaway sa parke.,"Ang mga aso [plural, non-human] ay nag-aaway sa parke.",The dogs are fighting in the park.,"Pronoun = ""they,"" plural, non-human"
Siya ay nanonood ng mga dokumentaryo.,"Siya [singular, third-person, gender-neutral] ay nanonood ng mga dokumentaryo.",They are watching documentaries.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng basketball tuwing Sabado.,"Sila [plural, third-person] ay naglalaro ng basketball tuwing Sabado.",They play basketball every Saturday.,"Pronoun = ""they,"" plural"
Siya ay nagsasanay para sa kanyang recital.,"Siya [singular, third-person, gender-neutral] ay nagsasanay para sa kanyang recital.",They are practicing for their recital.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtuturo ng Ingles sa mga bata.,"Sila [plural, third-person] ay nagtuturo ng Ingles sa mga bata.",They are teaching English to children.,"Pronoun = ""they,"" plural"
Siya ay namimili ng gamit sa mall.,"Siya [singular, third-person, gender-neutral] ay namimili ng gamit sa mall.",They are shopping for things at the mall.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga estudyante ay nagrereview para sa pagsusulit.,"Ang mga estudyante [plural, third-person] ay nagrereview para sa pagsusulit.",The students are reviewing for the exam.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng kape sa coffee shop.,"Siya [singular, third-person, gender-neutral] ay bumibili ng kape sa coffee shop.",They are buying coffee at the coffee shop.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga puno ay lumalaki sa kagubatan.,"Ang mga puno [plural, non-human] ay lumalaki sa kagubatan.",The trees are growing in the forest.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpaplano ng sorpresa para sa kaibigan niya.,"Siya [singular, third-person, gender-neutral] ay nagpaplano ng sorpresa para sa kaibigan niya.",They are planning a surprise for their friend.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng video games sa bahay.,"Sila [plural, third-person] ay naglalaro ng video games sa bahay.",They are playing video games at home.,"Pronoun = ""they,"" plural"
Siya ay nag-iipon ng pera para sa bakasyon.,"Siya [singular, third-person, gender-neutral] ay nag-iipon ng pera para sa bakasyon.",They are saving money for a vacation.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkikita tuwing Linggo.,"Sila [plural, third-person] ay nagkikita tuwing Linggo.",They meet every Sunday.,"Pronoun = ""they,"" plural"
Siya ay umaakyat ng bundok.,"Siya [singular, third-person, gender-neutral] ay umaakyat ng bundok.",They are climbing a mountain.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay tumatakbo sa palaruan.,"Sila [plural, third-person] ay tumatakbo sa palaruan.",They are running in the playground.,"Pronoun = ""they,"" plural"
Si Ana ay nagpapraktis ng sayaw. Siya ay masipag.,"Si Ana ay nagpapraktis ng sayaw. Siya [singular, third-person, gender-specific] ay masipag.",Ana is practicing her dance. She is diligent.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay bumibili ng mga prutas sa palengke.,"Siya [singular, third-person, gender-neutral] ay bumibili ng mga prutas sa palengke.",They are buying fruits at the market.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naghuhugas ng kanilang mga kamay.,"Sila [plural, third-person] ay naghuhugas ng kanilang mga kamay.",They are washing their hands.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-aayos ng kotse. Siya ay mahusay.,"Si Pedro ay nag-aayos ng kotse. Siya [singular, third-person, gender-specific] ay mahusay.",Pedro is fixing the car. He is good.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay naglalaro ng gitara.,"Siya [singular, third-person, gender-neutral] ay naglalaro ng gitara.",They are playing the guitar.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapalipas ng oras sa parke.,"Sila [plural, third-person] ay nagpapalipas ng oras sa parke.",They are spending time at the park.,"Pronoun = ""they,"" plural"
Siya ay nagbabasa ng dyaryo.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng dyaryo.",They are reading the newspaper.,"Pronoun = ""they,"" singular, gender-neutral"
Si Juan at Maria ay nagpapahinga. Sila ay magkasama.,"Si Juan at Maria ay nagpapahinga. Sila [plural, third-person] ay magkasama.",Juan and Maria are resting. They are together.,"Pronoun = ""they,"" plural"
Siya ay kumakanta ng isang awit.,"Siya [singular, third-person, gender-neutral] ay kumakanta ng isang awit.",They are singing a song.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-uusap tungkol sa proyekto.,"Sila [plural, third-person] ay nag-uusap tungkol sa proyekto.",They are talking about the project.,"Pronoun = ""they,"" plural"
Siya ay pumupunta sa sinehan.,"Siya [singular, third-person, gender-neutral] ay pumupunta sa sinehan.",They are going to the cinema.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng volleyball.,"Sila [plural, third-person] ay naglalaro ng volleyball.",They are playing volleyball.,"Pronoun = ""they,"" plural"
Siya ay nagtatanim ng mga gulay.,"Siya [singular, third-person, gender-neutral] ay nagtatanim ng mga gulay.",They are planting vegetables.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aayos ng kanilang bahay.,"Sila [plural, third-person] ay nag-aayos ng kanilang bahay.",They are fixing their house.,"Pronoun = ""they,"" plural"
Siya ay nanonood ng TV kasama ang pamilya.,"Siya [singular, third-person, gender-neutral] ay nanonood ng TV kasama ang pamilya.",They are watching TV with the family.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagluluto ng tinapay sa kusina.,"Sila [plural, third-person] ay nagluluto ng tinapay sa kusina.",They are baking bread in the kitchen.,"Pronoun = ""they,"" plural"
Siya ay nagtatanong ng mga tanong sa klase.,"Siya [singular, third-person, gender-neutral] ay nagtatanong ng mga tanong sa klase.",They are asking questions in class.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay tumatakbo sa bakuran.,"Ang mga bata [plural, third-person] ay tumatakbo sa bakuran.",The children are running in the yard.,"Pronoun = ""they,"" plural"
